Territorialidades,Esperança de vida ao nascer 2010,Mortalidade infantil 2010,Taxa de analfabetismo - 15 anos ou mais de idade 2010,Produto Interno Bruto per capita 2013,Produto Interno Bruto per capita 2014,Produto Interno Bruto per capita 2015,Produto Interno Bruto per capita 2016,Taxa de mortalidade infantil 2013,Taxa de mortalidade infantil 2014,Taxa de mortalidade infantil 2015,Taxa de mortalidade infantil 2016,Taxa de mortalidade infantil 2017,% de meninas de 10 a 14 anos de idade que tiveram filhos 2013,% de meninas de 10 a 14 anos de idade que tiveram filhos 2014,% de meninas de 10 a 14 anos de idade que tiveram filhos 2015,% de meninas de 10 a 14 anos de idade que tiveram filhos 2016,% de meninas de 10 a 14 anos de idade que tiveram filhos 2017,% de pobres 2010
Juatuba (MG),75.94,13.9,8.54,31.13,32.51,32.53,28.31,13.85,6.4,9.48,5.19,10.2,0.28,0.43,0.24,0.26,0.51,12.24
Juazeirinho (PB),70.2,26.8,26.01,5.05,5.56,5.42,5.32,26.67,17.75,15.87,16.46,25.97,2,,0.32,1.23,0.97,40.72
Juazeiro (BA),72.76,20.11,13.35,10.22,10.94,10.37,10.36,13.79,17.71,17.4,16.45,17.66,1.45,1.04,1.54,1.45,1.13,21.56
Juazeiro do Norte (CE),73.58,18.12,16.2,10.35,11.4,10.64,10.36,21.77,12.02,13.89,15.75,11.64,0.99,1.13,0.89,0.62,0.82,23.43
Juazeiro do Piauí (PI),70.2,27.2,29.23,4.55,5.39,4.79,4.86,15.15,0,0,17.54,0,3.03,1.39,3.39,,2.13,47.16
Jucás (CE),71.32,22.7,31.18,4.82,5.69,5.09,4.78,18.63,2.75,23.39,0,23.46,0.62,1.93,0.58,1.3,0.59,44.11
Jucati (PE),65.87,41.2,32.67,5.3,5.13,5.35,5.55,5.88,5.21,14.22,16.48,34.48,0.59,2.08,0.47,0.55,1.15,44.61
Jucuruçu (BA),70.08,27.2,32.04,12.63,7.84,7,6.39,38.1,30.93,10.31,30,34.48,2.86,1.03,1.03,2,2.3,53.18
Jucurutu (RN),70.28,25.8,31.53,6.06,6.96,6.89,6.77,11.86,4.72,26.62,5,9.3,0.4,0.47,0.38,2,,29.48
Juína (MT),75.72,14.3,9.86,14.07,15.43,15.52,15.94,16.03,10.17,14.16,11.06,12.16,0.96,1.31,0.85,0.95,1.22,10.48
Juiz de Fora (MG),75.65,15.42,3.25,20.23,19.95,18.77,17.24,13.24,14.33,11.9,12.3,10.32,0.59,0.44,0.61,0.54,0.47,5.48
Júlio Borges (PI),71.64,23,18.16,4.1,4.38,4.69,4.57,10.31,0,28.17,26.32,10.42,,2.9,,3.95,1.04,54.96
Júlio de Castilhos (RS),74.96,12.8,5.65,33.72,33.52,35.54,35.52,7.94,8,0,0,12.45,,0.8,0.81,1.46,0.41,12.13
Júlio Mesquita (SP),73.76,16.7,11.88,6.87,7.13,6.95,7.19,0,15.15,0,30.3,34.48,1.61,3.03,,3.03,3.45,11.22
Jumirim (SP),76.75,12.2,6.6,18.37,17.95,15.65,14.96,0,29.41,0,0,0,,,3.03,1.92,,3.46
Junco do Maranhão (MA),66.39,42.2,27.16,6.8,6.7,6.97,7.81,8.7,7.94,21.74,0,7.41,,1.59,1.45,,0.74,47.05
Junco do Seridó (PB),67.91,34.2,21.71,5.63,6.29,6.29,6.56,17.86,21.51,11.63,0,21.05,,1.08,1.16,2.17,,33.64
Jundiá (AL),67.9,36.6,33.73,6.59,7,6.67,6.94,26.32,0,0,33.9,0,,7.69,6.38,5.08,,38.28
Jundiaí do Sul (PR),74.03,14,14.51,16.37,13.59,18.33,18.93,40,0,0,23.81,0,,,2.44,,,16.26
Jundiaí (SP),76.94,11.51,3.08,73.19,77.15,70.2,65.1,9.69,12.21,9.62,8.06,10.55,0.48,0.44,0.41,0.29,0.28,1.87
Jundiá (RN),71.47,22.5,35.44,5.08,5.17,5.11,4.87,17.86,19.23,0,58.82,142.86,,1.92,,,,36.66
Junqueiro (AL),67.85,36.8,32.26,6.8,6.38,7.98,9.62,15.23,12.99,24.26,16.22,15.58,3.3,1.04,0.81,1.62,0.31,40.18
Junqueirópolis (SP),76.61,12.4,8.56,17.72,19.83,31.22,31.25,19.46,8.06,8.3,8.55,0,1.56,0.4,,0.85,0.44,3.76
Jupiá (SC),76.71,11.3,10.18,17.11,15.73,15.05,16.55,0,0,0,0,34.48,,,,,3.45,14.26
Jupi (PE),66.88,37.4,32.19,6.04,6.08,5.93,6.29,43.8,16.72,3.13,4.07,14.34,0.73,1,0.63,1.63,0.72,41.93
Juquiá (SP),74.36,15.7,11.06,9.34,10.93,9.5,11.92,15.72,0,0,7.55,17.99,0.94,1.2,1.05,0.38,1.44,18.23
Juquitiba (SP),72.48,18.9,10.82,11.38,10.99,10.41,9.53,4.24,22.27,20.75,13.07,4.42,0.21,0.89,1.24,,0.44,9.97
Juramento (MG),73.48,17.8,16.17,13.56,6.3,6.61,6.41,20.41,25.64,0,0,20,,,,,2,20.77
Juranda (PR),74.08,14,12.24,27.21,27.53,27,28.87,9.43,0,27.03,10,10.42,1.89,,1.35,1,1.04,8.63
Jurema (PE),65.87,41.2,37.95,4.47,4.49,4.32,4.42,13.51,25.77,9.85,13.95,23.04,,1.03,,0.47,0.92,48.57
Jurema (PI),71.04,24.7,35.48,4.22,4.52,4.56,4.71,27.03,16.13,43.48,31.25,0,,1.61,2.9,3.13,4.69,52.7
Juripiranga (PB),65.64,42.7,34.34,6.05,6.24,5.91,6.15,10.64,16.57,9.76,10.47,4.65,2.13,2.21,0.98,,3.26,46.18
Juruá (AM),67.24,34.3,33.72,5.7,5.21,4.95,4.34,4.95,20.73,13.82,22.86,19.76,1.49,6.22,3.69,2.29,2.77,56.2
Juruaia (MG),76.61,13,6.42,9.63,11.65,10.99,11.55,7.75,8.2,0,6.8,19.61,0.78,0.82,1.29,2.72,0.65,3.45
Juruena (MT),72.79,19,9.98,8.83,8.81,8.13,7.92,0,5.38,0,13.7,0,0.64,1.08,0.71,2.05,1.55,16.58
Juru (PB),70.45,26,33.41,4.57,4.71,4.66,4.77,25.42,17.24,0,0,9.09,,,0.7,,0.91,41.84
Juruti (PA),70.35,25.8,8.9,14.12,13.51,10.28,11.31,16.73,21.44,15.99,21.93,20.15,1.97,2.24,1.41,1.23,1.34,49.58
Juscimeira (MT),75.54,14.6,14.81,18.09,16.66,15.7,18.32,7.09,24.84,0,0,7.69,0.71,1.24,1.4,1.45,0.77,9.91
Jussara (BA),68.21,33.2,25.77,3.92,4.2,4.14,3.9,26.32,22.22,20.69,9.76,24.51,1.75,3.11,3.1,1.46,1.47,45.97
Jussara (GO),75.5,12.5,12.54,15.44,16.67,14.34,14.75,8,7.41,0,7.63,7.27,1.6,1.11,0.82,,1.09,7.46
Jussara (PR),75.12,12.6,7.05,17.78,20.17,20.69,20.27,11.11,10.87,0,0,11.11,1.11,1.09,,,2.22,4.05
Jussari (BA),66.93,37.8,29.42,5.97,5.81,6.14,5.36,0,21.98,14.71,31.91,30.61,3.61,3.3,2.94,3.19,3.06,37.14
Jussiape (BA),69.17,30,25.07,4.01,4.87,5.22,5.19,0,32.79,16.95,29.41,12.99,,1.64,1.69,,,24.82
Jutaí (AM),70.93,22.8,28.06,8.68,8.45,8.56,8.12,20.67,14.26,23.7,23.18,24.28,3.18,3.17,3.01,2.48,2.13,62.09
Juti (MS),71.19,25.2,18.67,19.42,20.67,19.33,27.92,37.04,43.1,21.28,17.39,27.78,4.63,1.72,3.19,4.35,3.7,22.95
Juvenília (MG),71.57,21.2,23.12,5.52,5.62,5.49,5.64,28.57,19.8,41.67,0,0,1.43,,,3.17,1.59,47.28
Kaloré (PR),75.9,11.5,11.45,19.18,15.51,16.18,14.2,0,0,35.09,21.28,0,1.85,,,2.13,,8.32
Lábrea (AM),69.62,26.6,28.55,7.66,6.84,6.52,6.53,17.86,19.58,19.73,30.67,13.5,2.47,2.8,3.69,3.37,3.24,52.41
Lacerdópolis (SC),77.97,9.8,5.41,40.94,28.15,26.42,26.24,0,0,30.3,38.46,0,,,,,,1.16
Ladainha (MG),70.26,23.8,29.69,4.03,4.07,4.08,4.04,15.63,22.83,10.15,20.41,15,0.52,0.91,1.02,2.04,1,50.74
Ladário (MS),74.34,19,6.69,8.61,11.59,9.29,8.28,26.88,17.41,19.13,15.87,22.5,2.15,1,0.82,2.65,0.75,17.13
Lafaiete Coutinho (BA),71.26,23.7,26.98,5.3,5.68,6.17,6.14,0,96.77,0,22.73,0,2.17,3.23,,,,38.48
Lagamar (MG),75.31,14.8,11.07,14.01,13.58,12.61,13.65,,,,,,,,,2.17,,9.36
Lagarto (SE),71.5,28.13,25.32,9.92,9.59,9.14,9,10.71,12.99,18.16,11.64,16.33,1,1.37,0.94,0.8,0.52,28.14
Lages (SC),77.04,10.71,5.02,18.93,21.7,21.59,19.87,16.67,14.96,14,14.94,11.24,0.68,0.75,0.41,1.05,0.6,6.24
Lagoa Alegre (PI),68.7,32,31.89,3.63,3.79,4.23,4.3,8.4,24,16.67,17.7,17.24,0.84,,0.83,0.88,0.86,50.1
Lagoa Bonita do Sul (RS),73.05,15.6,10.66,14.73,14.06,13.71,12.14,0,0,29.41,0,37.04,5.26,,,,,8.94
Lagoa da Canoa (AL),67.16,39.4,38.38,4.83,4.71,5.13,4.59,19.17,19.93,8.47,17.54,20.13,0.96,1,0.56,0.7,1.01,47.44
Lagoa da Confusão (TO),72.2,20.5,13.48,23.93,29.67,26.92,23.9,18.96,46.51,12.61,36.04,16.53,1.42,2.79,1.68,2.7,3.31,24.83
Lagoa D'Anta (RN),69.36,28.6,33.2,4.97,4.8,5.03,4.77,13.7,0,12.35,10.99,22.73,4.11,,2.47,2.2,2.27,41.93
Lagoa da Prata (MG),74.89,15.5,6.48,18.95,20.53,19.29,18.03,11.79,8.99,4.83,16.05,8.33,0.79,0.54,0.32,1.77,0.33,4.63
Lagoa de Dentro (PB),71.3,23.6,31.9,5.6,5.86,5.86,5.78,27.27,23.44,7.87,0,15.15,1.82,,2.36,1.04,3.03,46.93
Lagoa de Itaenga (PE),71.44,22.8,26.86,7.78,8.82,9.03,9.01,8.06,20.25,5.35,8.98,8.65,2.15,1.52,1.34,0.3,0.86,37.41
Lagoa de Pedras (RN),69.06,29.6,36.72,5,4.94,5.14,4.77,0,11.63,29.13,0,31.91,1.03,1.16,0.97,1.9,,49.61
Lagoa de São Francisco (PI),69.6,29.1,33.64,3.72,3.95,3.78,3.81,11.36,0,12.82,0,13.7,3.41,,,,,55.25
Lagoa de Velhos (RN),72.36,20.1,26.65,7.38,6.82,7.88,7.11,27.78,0,0,0,0,,2.44,,,,33.11
Lagoa do Barro do Piauí (PI),69.62,29,27.73,4.35,4.47,4.79,4.39,15.38,41.67,0,0,14.93,,,1.28,1.54,,62.64
Lagoa do Carro (PE),72.31,20.5,23.66,6.16,6.89,6.86,7.58,12.5,12.66,23.62,32.41,12.88,0.83,0.84,0.79,0.93,0.43,32.8
Lagoa do Mato (MA),68.58,34.1,33.04,3.48,4.35,4,4.01,0,14.71,32.47,7.94,6.8,0.79,,0.65,2.38,0.68,48.76
Lagoa do Ouro (PE),68.99,30.1,40.14,4.59,5.43,5.32,5.36,11.63,25.16,9.57,25,25.91,0.58,0.63,,,0.52,48.01
Lagoa do Piauí (PI),71.7,22.9,27.04,7.32,8.54,6.24,6.51,48.39,60.61,18.52,17.86,0,,1.52,,,1.49,36.76
Lagoa dos Gatos (PE),68.49,31.7,39.05,4.15,4.3,4.15,3.88,18.52,10.42,9.09,0,0,0.93,2.08,0.91,2.27,1.57,41.7
Lagoa do Sítio (PI),69.68,28.8,35.78,4.02,4.31,4.43,4.76,0,0,47.62,0,0,2.17,,4.76,,,55.53
Lagoa dos Patos (MG),71.36,21.6,15.99,6.89,6.77,6.62,6.71,69.77,0,66.67,0,0,,,,,,24.57
Lagoa dos Três Cantos (RS),76.14,11.3,2.22,35.72,30,31.77,34.62,0,0,0,0,83.33,,,,,,3.78
Lagoa do Tocantins (TO),70.5,25.1,22.58,6.16,6.13,5.92,5.61,0,0,0,31.25,0,1.37,,,,2.13,52.69
Lagoa Dourada (MG),74.68,15.8,5.87,8.55,8.31,8.46,11.83,6.58,6.02,26.67,14.39,26.32,0.66,0.6,0.67,,,18.33
Lagoa Formosa (MG),74.91,15.5,10.95,10.7,11.31,11.46,12.4,17.75,14.08,5.62,10.87,22.94,1.18,0.7,2.81,,0.46,5.61
Lagoa Grande do Maranhão (MA),68.86,33.1,35.34,4.12,3.94,4.63,4.05,22.62,5.49,4.98,19.9,20.83,1.81,1.65,2.99,1.49,4.17,60.75
Lagoa Grande (MG),73.72,17.4,11.16,15.38,15.11,14.13,14.67,20.62,0,28.04,11.11,8.06,2.06,1.35,,1.11,0.81,12.74
Lagoa Grande (PE),67.28,35.9,24.43,9.11,8.27,7.49,7.33,21,18.47,18.09,30.81,10.81,1.31,1.06,3.1,0.56,1.89,32.76
Lagoa Nova (RN),70.81,24.3,29.24,8.26,8.02,6.16,10.12,14.71,8.06,24.1,8.47,13.89,0.98,2.02,1.61,0.42,0.93,44.26
Lagoão (RS),74.34,13.6,20.11,10.98,10.13,9.94,9.6,0,13.51,0,15.38,0,,1.35,2.13,1.54,,16.01
Lagoa (PB),69.81,28,33.84,4.67,4.94,4.88,4.76,16.39,18.52,17.24,22.73,0,,,,2.27,,42.27
Lagoa Real (BA),70.82,25,23.83,3.46,3.65,3.79,3.6,31.75,30.08,6.67,6.94,0,,1.5,1.33,,1.21,43.89
Lagoa Salgada (RN),71.28,23,36.93,6.09,4.72,5.08,4.72,0,22.06,14.29,15.15,7.63,2.84,,,1.52,2.29,43.02
Lagoa Santa (GO),77.1,10.5,6.69,18.9,18.37,18.57,17.3,,,,,,,,,,,3.81
Lagoa Santa (MG),76.43,13.2,4.7,20.61,22.32,20.12,21.47,12.3,9.49,9.45,13.7,14.87,0.55,0.59,0.71,0.62,0.37,4.37
Lagoa Seca (PB),71.15,24,21.26,6.22,6.17,6.25,6.13,20.83,25.38,14.08,15.38,4.91,0.46,0.76,0.94,0.26,0.74,31.8
Lagoa Vermelha (RS),78.1,9.6,7.41,24.1,25.48,23.23,23.44,22.96,8.65,11.74,7.61,10.15,0.77,1.15,0.94,0.51,,7.19
Lago da Pedra (MA),68.45,34.6,30.58,4.43,4.59,4.8,4.85,18.4,14.48,9.78,12.46,8.27,1.52,2,2.32,1.47,1.42,43.06
Lago do Junco (MA),69.47,31.1,32.97,3.75,3.88,3.87,4.18,0,11.63,15.79,12.5,5.05,1.42,2.33,1.05,2.5,0.51,55.4
Lago dos Rodrigues (MA),69.22,31.9,30.06,4.69,5.37,4.96,5.25,6.45,7.63,0,7.69,24,1.94,3.82,3.01,0.77,0.8,39.36
Lagoinha do Piauí (PI),71.57,23.2,27.22,3.78,4.57,4.47,4.32,0,83.33,0,60,32.26,,,2.27,6,,44.29
Lagoinha (SP),72.82,18.3,10.56,7.8,8.12,7.93,7.72,30.3,40,0,0,0,,4,2.78,,,9.07
Lago Verde (MA),68.86,33.1,33.02,4.06,4.21,4.01,4.04,20.13,0,4.17,11.41,18.32,4.03,2.37,1.67,1.9,1.83,53.97
Laguna Carapã (MS),74.34,19,12.24,36.78,37.85,39.04,38.3,7.94,9.71,7.52,0,7.75,2.38,3.88,1.5,4.31,0.78,21.84
Laguna (SC),77.27,10.6,5.55,12.72,13.3,12.25,11.57,8.73,7.83,9.96,14.25,4.23,0.52,0.59,0.4,0.95,0.42,5.27
Lajeado do Bugre (RS),74.33,13.7,18.33,12.55,11.72,11.05,12.66,27.78,0,0,0,0,,4,3.45,,,32.58
Lajeado Grande (SC),76.45,11.6,7.39,51.24,22.32,17.25,17.34,0,47.62,0,0,0,,9.52,,,3.85,4.85
Lajeado Novo (MA),69.29,31.7,18.57,4.74,5.28,5.25,6,26.55,28.57,0,30.3,22.73,,,1.06,,1.14,48.2
Lajeado (RS),75.41,12.2,2.69,31.74,32.81,29.93,29.35,11.2,11.62,9.07,7.75,4.01,0.37,0.18,0.25,0.09,0.08,1.96
Lajeado (TO),72.89,18.8,9.68,12.27,12.49,13.1,12.59,41.67,34.48,19.23,17.86,0,4.17,1.72,1.92,,1.64,21.81
Laje (BA),70.85,24.9,27.44,5.73,5.89,6.56,6.29,22.47,7.09,6.71,20.83,7.72,1.5,1.42,1.68,2.08,1.54,43.59
Lajedão (BA),71.68,22.5,24.18,10.45,14.19,15.25,9.68,48.78,0,47.62,0,0,,2.7,6.35,1.79,3.7,21.7
Lajedinho (BA),70.2,26.8,27.58,6.62,9.78,8.81,8.84,0,0,0,23.81,23.81,,4.44,4.76,2.38,2.38,56.72
Lajedo do Tabocal (BA),70.85,24.9,29.36,5.85,5.82,5.82,5.47,0,0,0,30.61,0,,,1.92,1.02,3.41,45.4
Laje do Muriaé (RJ),72.97,17,13.76,13.8,13.58,12.45,12.12,19.8,11.76,0,44.94,16.67,0.99,,2.08,1.12,1.67,14.7
Lajedo (PE),70.5,25.4,26.23,7.05,7.72,6.76,6.89,16.44,15.58,8.45,17.13,17.24,0.6,0.42,0.85,1.87,1.1,33.28
Lajes Pintadas (RN),71.12,23.4,27.51,5.44,5.68,5.63,5.45,0,0,0,17.86,24.1,,2.99,1.45,,1.2,36.87
Lajes (RN),70.37,25.6,26.98,7.11,6.7,6.5,6.45,10.2,9.35,6.9,20,27.52,2.04,0.93,2.07,2,1.83,33.77
Lajinha (MG),73.6,17.6,17.05,10.06,9.42,10.03,10.45,16.67,12.54,6.76,3.46,9.71,1.25,0.31,0.68,1.04,0.32,17.51
Lamarão (BA),69.79,28,32.78,3.38,3.44,3.56,3.58,0,8.85,11.11,12.5,14.08,,1.77,,1.25,,53.56
Lambari D'Oeste (MT),72.2,20.1,15.47,24.97,25.09,24.64,20.08,0,18.52,34.48,13.16,13.33,1.25,,1.72,1.32,1.33,10
Lambari (MG),77.23,12.1,7.52,9.66,10.64,10.14,10.63,9.85,8.47,13.1,4.46,12.82,0.49,1.27,1.31,,0.43,10.21
Lamim (MG),74.7,15.8,13.22,6.56,7.04,6.75,6.9,32.26,32.26,26.32,29.41,0,,3.23,,,,25.13
Landri Sales (PI),69.25,30.2,26.59,6.99,8.82,10.89,7.06,21.28,13.89,16.95,70.18,37.97,,1.39,3.39,3.51,,41.99
Lapão (BA),70.27,26.6,20.99,4.1,4.58,4.81,4.57,15.79,16.67,7.44,26.13,11.44,2.37,0.95,1.24,1.66,1.83,47.08
Lapa (PR),75.9,11.6,5.67,20.73,20.68,21.25,24.24,6.4,4.71,10.99,11.8,7.08,1.12,0.94,1.73,0.51,0.71,10.59
Laranja da Terra (ES),73.59,16.1,13.21,7.87,7.94,7.58,7.74,10.99,0,9.71,0,0,,1.05,,,,23.68
Laranjal do Jari (AP),73.06,16.8,11.35,10.35,9.84,8.4,11.12,14.66,23.09,21.67,28.1,9.84,2.25,2.31,1.52,1.79,1.97,24.49
Laranjal (MG),76.42,13.2,10.8,7.6,7.17,7,6.98,29.41,0,0,27.78,0,,,,,,8.34
Laranjal Paulista (SP),74.73,15.1,4.76,21.87,21.66,20.16,21.12,14.62,12.53,13.97,10.1,9.04,0.58,0.25,,0.51,,3.1
Laranjal (PR),72.37,16.5,17.81,8.16,8.49,8.77,8.66,9.71,0,32.61,0,0,0.97,,1.09,2.5,2.11,31.17
Laranjeiras do Sul (PR),75.11,12.6,8.47,12.96,14.37,14.32,14.32,10.2,3.74,14.08,10.71,18.75,1.22,0.56,0.88,1.28,1.25,14.43
Laranjeiras (SE),71.3,23.8,15.66,27.07,28.47,26.94,22.61,18.91,20.18,21.51,21.03,13.25,2.1,2.02,1.29,0.47,0.44,31.34
Lassance (MG),72.71,19.1,15.06,12.96,13.62,10.81,9.06,28.57,74.63,10.75,0,0,,1.49,2.15,1.59,,22.5
Lastro (PB),69.83,27.9,31.09,5.52,5.52,5.79,5.72,22.22,0,20.83,0,18.18,2.22,,2.08,2.08,,38.53
Laurentino (SC),76.28,11.8,3.9,21.58,25.94,23.88,24.93,19.8,10.2,9.43,10.31,0,,1.02,,,,1.7
Lauro de Freitas (BA),74.61,15.13,4.93,24.29,24.83,21.33,20.82,15.05,17.66,11.8,10.2,13.68,1.07,1,1.12,0.64,0.7,11.45
Lauro Muller (SC),74.32,14.6,4.86,13.38,13.91,13.43,14.05,0,0,9.95,9.22,6.02,,0.93,0.5,,,3.13
Lavandeira (TO),71.5,22.3,22.49,36.64,6.98,7.61,7.95,0,0,35.71,0,90.91,,4.76,7.14,,,35.15
Lavínia (SP),74.17,16,7.88,10.42,9.76,8.07,8.94,0,22.73,0,42.55,14.49,,,,,,4.57
Lavras da Mangabeira (CE),71.65,21.8,28.88,4.2,4.77,5.34,4.67,12.08,17.7,7.75,10.78,17.91,0.6,0.88,0.78,0.27,1.19,46.26
Lavras do Sul (RS),77.05,10.2,9.19,18.95,18.79,20.42,20.97,30.3,28.99,11.9,14.93,13.89,,1.45,1.19,4.48,2.78,11.8
Lavras (MG),77.8,11.4,4.14,17.56,16.63,15.14,14.89,11.71,12.16,12.19,10.77,18.09,0.48,0.43,0.5,0.31,0.56,4.35
Lavrinhas (SP),74.38,15.7,6.33,11.91,11.77,10.05,9.79,10,30.61,8.77,30.93,0,,1.02,,,,20.14
Leandro Ferreira (MG),77.49,11.8,11.77,8.72,8.45,7.88,8.02,0,27.03,31.25,35.71,64.52,,,,,,6.61
Lebon Régis (SC),73.38,16,12.05,12.61,12.57,12.89,13.4,12.5,24.69,10.81,36.14,0,0.63,1.85,0.54,2.41,2.74,19.27
Leme do Prado (MG),71.73,20.9,17.42,5.56,5.44,5.94,6.18,,,,,,,,,,,21.71
Leme (SP),76.05,13.2,7.16,19.79,20.34,20.15,19.47,11.33,11.53,9.64,6.71,9.07,0.97,1.08,0.88,1.17,0.58,5.09
Lençóis (BA),71.51,23,18.65,5.92,6.51,7.09,6.55,7.46,12.9,25.42,40.82,17.09,0.75,3.87,1.69,1.36,2.56,39.34
Lençóis Paulista (SP),75.19,13.3,5.1,27.74,25.86,23.19,24.45,9.26,7.33,6.7,10.32,5.81,0.81,0.42,0.56,0.13,,2.73
Leoberto Leal (SC),74.06,14.9,10.42,18.42,17.44,15.42,16.1,0,0,0,0,25.64,,,2.33,,,7.03
Leopoldina (MG),77.04,12.4,6.99,12.78,13.23,13.24,12.25,21.92,15.75,6.41,4.87,6.14,0.67,0.47,0.64,1.14,0.31,10.91
Leopoldo de Bulhões (GO),73.73,15,13.6,18.75,15.66,14.36,15.79,0,19.61,16.67,0,21.05,1.41,0.98,,,,11.22
Leópolis (PR),73.69,14.5,11.52,21.48,15.85,18.39,19.18,25,38.46,19.61,0,41.67,2.5,1.92,,,,7.68
Liberato Salzano (RS),73.59,14.7,12.78,13.03,13.64,14.66,14.17,49.18,14.71,0,16.39,0,1.64,,2.04,,1.33,10.29
Liberdade (MG),75.01,15.3,14.92,9.29,8.85,9.45,9.43,33.33,0,16.67,27.78,47.62,,,,,,17.73
Licínio de Almeida (BA),71.49,23.1,22.9,4.64,4.92,5.28,5.17,19.74,32,13.99,17.24,28.99,,0.8,,,,29.59
Lidianópolis (PR),73.13,16.4,17.81,11.7,11.79,12.99,14.11,43.48,0,23.26,0,0,2.17,,,,,10.61
Lima Campos (MA),67.29,38.8,31.05,4.73,4.94,9.68,7.54,9.39,0,15.71,8.85,5.41,0.47,4.41,1.57,3.1,2.7,40.87
Lima Duarte (MG),76.68,12.9,11.01,10.3,10.41,9.42,9.79,5.71,22.99,27.78,11.76,0,0.57,0.57,,1.18,1.19,14.08
Limeira do Oeste (MG),75.04,15.3,12.62,25.76,22.4,27.24,27.97,12.5,10.87,19.05,9.8,17.09,1.25,,0.95,,2.56,10.96
Limeira (SP),76.11,15.22,3.99,30.84,29.96,25.62,24.6,6.83,11.65,9.71,8.08,8.01,0.65,0.61,0.39,0.33,0.28,3.25
Limoeiro de Anadia (AL),69.51,31.1,35.1,4.67,7.04,9.55,11.46,8.88,13.37,13.85,10.07,16.85,0.59,1.34,2.49,1.68,1.69,47.66
Limoeiro do Ajuru (PA),70.21,26.2,14.75,12.38,10.36,10.68,9.18,39.34,29.28,26.97,17.54,14.93,1.66,2.03,2.7,1.54,1.49,63.67
Limoeiro do Norte (CE),73.22,17.9,19.21,11.42,11.03,10.15,10.52,14.01,14.55,10.63,2.6,11.35,1.53,0.93,0.94,0.78,0.76,21.09
Limoeiro (PE),72.81,19.2,20,8.01,8.34,7.8,8.15,8.81,4.94,4.82,8.1,7.68,0.75,1.73,0.24,0.54,0.77,24.77
Lindoeste (PR),71.12,19.7,13.65,20.99,24.1,22.53,22.11,0,0,14.93,0,0,2.6,1.37,,,1.41,16.43
Lindóia do Sul (SC),76.89,11.1,5.44,19.7,24.58,24.05,18.69,0,36.36,0,0,17.24,,3.64,,8.33,1.72,4.68
Lindóia (SP),76.85,12,5.9,13.01,14.29,14.06,13.27,12.5,12.99,0,0,28.57,1.25,,,,1.43,1.79
Lindolfo Collor (RS),75.5,12.1,3.78,33.68,43.05,38.48,36.86,13.7,21.74,12.05,0,0,,1.09,1.2,,1.33,3.27
Linha Nova (RS),75.73,11.8,2.86,19.68,19.45,20.31,22.18,0,0,0,0,142.86,,,,,,1.15
Linhares (ES),75.05,14,9.62,27.58,25.9,23.12,21.05,8.57,9.37,10.49,12.33,12.68,1.39,1.12,1.24,0.88,1.47,10.78
Lins (SP),77.13,11.7,4.6,32.03,33.82,38.6,36.56,10.5,7.31,7.61,7.74,10.66,0.74,0.84,0.87,0.55,0.32,2.89
Livramento de Nossa Senhora (BA),72.6,20.1,21.15,5.93,6.64,6.35,6.2,19.47,16.79,12.61,10.73,6.84,0.71,0.37,0.18,0.54,0.68,35.73
Livramento (PB),68.94,30.7,23.13,4.45,4.78,4.76,4.81,11.63,17.39,21.74,10.31,28.85,3.49,,,1.03,,48.84
Lizarda (TO),70.87,24.1,22.36,5.49,5.59,5.89,5.87,25,21.28,25,0,22.22,,4.26,,2.44,,59.39
Loanda (PR),73.88,14.2,8.24,14.49,15.46,14.77,14.4,3.38,21.28,5.97,3.76,3.08,1.01,0.3,0.3,0.38,0.62,5.36
Lobato (PR),75.45,12.1,11.01,24.97,21.71,23.44,24.9,18.52,0,46.15,19.23,0,1.85,1.75,,,,2.57
Logradouro (PB),71.56,22.8,34.11,5.3,5.25,5.21,5.23,,,,,,,,2.94,,,38.52
Londrina (PR),75.19,11.73,4.52,24.87,23.85,23.37,22.16,9.31,8.68,8.55,8.7,10.68,0.53,0.52,0.45,0.46,0.39,3.27
Lontra (MG),72.61,19.3,22.22,4.3,4.47,4.35,4.35,10.42,0,8.33,20.2,7.58,1.04,,0.83,,,30.93
Lontras (SC),74.2,14.7,5.08,15.46,16.31,14.88,15.38,17.75,12.05,6.8,6.29,18.07,0.59,0.6,,,0.6,2.79
Lorena (SP),76.35,13.86,3.69,16.23,17.85,17.03,17.83,11.22,11.62,7.06,8.99,7.92,0.4,1.08,0.71,0.49,0.79,8.5
Loreto (MA),71.27,25.4,22.29,9.3,9.51,9.37,6.44,0,12.5,22.35,30.3,24.24,2.16,0.63,1.68,1.82,,49.97
Lourdes (SP),73.96,16.4,10.58,11.72,10.5,10.47,11.12,0,0,0,90.91,0,,,,,,6.1
Louveira (SP),76.65,12.3,4.32,182.62,219.16,196.5,166.53,15.63,16.24,6.57,6.62,15.04,0.57,0.81,,0.26,0.25,0.93
Lucas do Rio Verde (MT),74.96,15.4,3.26,38.57,39.21,37.54,41.3,16.8,17.92,8.36,12.2,14.13,0.27,0.81,0.61,0.38,0.64,2.64
Lucélia (SP),75.48,14,6.58,13.54,13.58,12.28,12.31,0,14.35,10.93,0,5.85,1.9,1.91,0.55,0.52,,4.1
