cod_mun,nom_mun,sig_uf,regiao,tx_aprov_ef_1,saeb_mat_ef_1,saeb_port_ef_1,ideb_ef_1,tx_aprov_ef_2,saeb_mat_ef_2,saeb_port_ef_2,ideb_ef_2,tx_aprov_em,saeb_mat_em,saeb_port_em,ideb_em,populacao,exp_vida,analfabetismo,tx_pobreza,pib_per_capita,mortalidade_inf,maternidade_inf,type,num_operadoras,0_a_2_mbs,2.5_a_5_mbs,6_a_10_mbs,11_a_15_mbs,15_a_25_mbs,acima_25_mbs
1302553,MANAQUIRI,AM,NORTE,90.5,166.05,159.33,3.8,95.5,214.69,223.57,3.7,88.5,217.79,222.03,2.7,22801,69.88,10.63,50.5,5.66,13.33,0.67,mobile,1,0.0,0.0,0.0,12.0,0.0,0.0
1302603,MANAUS,AM,NORTE,97.2,227.13,216.15,6,93.5,255.65,258.8,4.8,82.7,251.83,260.47,3.4,1802014,74.54,3.78,12.9,22.28,14.52,0.99,broadband,54,8796.0,2472.0,7267.0,4703.0,9184.0,30023.0
1302603,MANAUS,AM,NORTE,97.2,227.13,216.15,6,93.5,255.65,258.8,4.8,82.7,251.83,260.47,3.4,1802014,74.54,3.78,12.9,22.28,14.52,0.99,mobile,6,5104.0,914.0,538.0,3292.0,0.0,0.0
1302900,MAUES,AM,NORTE,85.9,214.75,203.01,5.1,86.7,252.04,251.4,4.2,71.7,235.43,240.21,2.6,52236,72.97,10.28,54.17,4.3,16.74,2.51,broadband,2,0.0,12.0,10.0,12.0,0.0,0.0
1303205,NOVO AIRAO,AM,NORTE,94.2,202.98,189.66,5,96.3,253.5,246.3,4.7,81.6,241.54,247.35,3.1,14723,71.55,15.52,47.65,4.42,15.02,2.4,broadband,4,0.0,20.0,26.0,4.0,6.0,0.0
1303403,PARINTINS,AM,NORTE,94.9,219.97,209.42,5.7,94.9,249.79,255.41,4.7,89.6,253.69,259.07,3.7,102033,72.97,6.03,42.12,6.04,22.91,1.54,broadband,2,0.0,0.0,0.0,0.0,144.0,0.0
1303403,PARINTINS,AM,NORTE,94.9,219.97,209.42,5.7,94.9,249.79,255.41,4.7,89.6,253.69,259.07,3.7,102033,72.97,6.03,42.12,6.04,22.91,1.54,mobile,1,66.0,0.0,0.0,0.0,0.0,0.0
1303536,PRESIDENTE FIGUEIREDO,AM,NORTE,86.2,209.41,203.5,4.8,84.9,246.16,248.8,4.4,82,254.46,259.86,3.4,27175,73.1,7.25,25.21,10.76,9.56,1.53,broadband,3,43.0,38.0,70.0,62.0,0.0,0.0
1303809,SAO GABRIEL DA CACHOEIRA,AM,NORTE,73.7,201.16,201.26,4.6,82,236.92,241.04,3.7,77.4,228.85,233.9,2.8,37896,71.59,14.66,56.81,4.11,34.6,0.82,broadband,2,10.0,0.0,0.0,0.0,0.0,0.0
1303957,SAO SEBASTIAO DO UATUMA,AM,NORTE,96.8,198.85,195.1,5.1,90,234.86,238.82,4.2,85.1,237,247.19,3.2,10705,69.34,10.16,46.65,4.8,19.42,2.91,broadband,2,0.0,18.0,0.0,0.0,0.0,0.0
1304005,SILVES,AM,NORTE,77.4,203.87,183.77,4.6,91.6,240.82,234.68,4.3,88.9,231.4,234.51,3.1,8444,72.47,7.81,51.94,7.11,8.13,1.22,broadband,2,8.0,0.0,0.0,0.0,0.0,0.0
1304062,TABATINGA,AM,NORTE,88,198.38,185.79,4.8,92.5,236.91,238.19,4.1,80.2,224.84,229.6,2.6,52272,71.12,14.38,46.19,4.42,22.93,1.23,broadband,4,33.0,7.0,45.0,0.0,42.0,0.0
1304203,TEFE,AM,NORTE,78.5,203.66,191.24,4.7,90.5,246.73,247.27,4.2,68.8,259.95,263.51,3,61453,73.04,14.21,34.38,6.94,18.72,2.04,broadband,3,220.0,60.0,0.0,0.0,0.0,0.0
1304401,URUCURITUBA,AM,NORTE,87.4,204.56,186.42,4.8,87.8,240.21,238.87,4.1,89,232.18,238.64,3.1,17837,71.53,9.18,49.82,3.74,19.05,3.49,mobile,1,50.0,0.0,0.0,0.0,0.0,0.0
1400100,BOA VISTA,RR,NORTE,98.4,225.78,212.75,5.9,86.7,243.28,240.98,4.3,82.8,267.43,269.95,3.7,284313,73.95,5.83,13.61,16.5,11.93,1.04,broadband,18,702.0,155.0,312.0,139.0,410.0,2276.0
1400100,BOA VISTA,RR,NORTE,98.4,225.78,212.75,5.9,86.7,243.28,240.98,4.3,82.8,267.43,269.95,3.7,284313,73.95,5.83,13.61,16.5,11.93,1.04,mobile,6,300.0,110.0,74.0,92.0,0.0,0.0
1400159,BONFIM,RR,NORTE,88.3,194.91,180.69,4.4,92.3,235.45,240.68,4.1,83.8,239.1,247.38,3.2,10943,73.52,13.26,54.19,13.88,31.83,2.65,broadband,3,0.0,10.0,0.0,0.0,0.0,0.0
1400175,CANTA,RR,NORTE,-,-,-,-,82,ND,ND,-,83.1,242.73,248.35,3.2,13902,73.19,17.22,47.29,9.1,14.2,1.7,broadband,2,2.0,0.0,0.0,0.0,0.0,0.0
1400308,MUCAJAI,RR,NORTE,87.5,199.48,182.72,4.5,92.3,236.85,232.79,4.1,86,239.9,239.84,3.1,14792,73.79,17.2,37.16,10.82,16.18,2.27,broadband,2,8.0,0.0,0.0,0.0,0.0,0.0
1400456,PACARAIMA,RR,NORTE,91.7,ND,ND,-,82.6,ND,ND,-,80.1,235.05,249.14,3,10433,72.29,9.79,51.71,8.99,39.47,2.63,broadband,3,0.0,25.0,0.0,0.0,0.0,0.0
1500107,ABAETETUBA,PA,NORTE,88,202.11,193.79,4.7,88.8,221.77,221.86,3.6,86.1,251.7,254.41,3.6,141100,72.89,13.71,38.95,5.46,15.85,0.74,broadband,11,128.0,46.0,51.0,73.0,113.0,138.0
1500107,ABAETETUBA,PA,NORTE,88,202.11,193.79,4.7,88.8,221.77,221.86,3.6,86.1,251.7,254.41,3.6,141100,72.89,13.71,38.95,5.46,15.85,0.74,mobile,1,4.0,0.0,0.0,0.0,0.0,0.0
1500206,ACARA,PA,NORTE,76.1,192.16,182.28,3.8,79.6,228.34,231.41,3.3,65.4,231.84,239.12,2.3,53569,70.44,21.31,53.47,9.68,16.13,1.51,broadband,3,18.0,0.0,0.0,0.0,0.0,0.0
1500347,AGUA AZUL DO NORTE,PA,NORTE,86.8,187.11,177.49,4,89.2,244.73,243.44,3.9,76.2,238.42,240.15,2.8,25057,72.83,11.77,33.99,10.83,13.95,0.93,broadband,4,2.0,0.0,0.0,6.0,22.0,0.0
1500404,ALENQUER,PA,NORTE,79.2,190.93,179.07,4.3,88.9,232.67,237.88,3.7,81.7,246.81,249.86,3.2,52626,71.72,15.6,52.34,7.97,26.5,1.41,broadband,2,0.0,0.0,0.0,0.0,0.0,30.0
1500503,ALMEIRIM,PA,NORTE,74.5,179.61,172.48,3.6,74.2,237.76,240.03,3.2,70.3,240.88,243.29,2.6,33614,73.55,13.73,38.3,11.76,17.45,1.74,broadband,4,58.0,0.0,0.0,0.0,14.0,36.0
1500602,ALTAMIRA,PA,NORTE,94.6,220.18,208.46,5.7,95.1,255.38,257.47,4.8,81.7,267.87,272.83,3.7,99075,73.64,12.45,22.38,14.93,14.07,1.53,broadband,14,419.0,170.0,365.0,370.0,590.0,220.0
1500602,ALTAMIRA,PA,NORTE,94.6,220.18,208.46,5.7,95.1,255.38,257.47,4.8,81.7,267.87,272.83,3.7,99075,73.64,12.45,22.38,14.93,14.07,1.53,mobile,3,292.0,0.0,0.0,10.0,0.0,0.0
